Date,Category,Longitude,Latitude
12/31/2015,Narcotic / Drug Law Violations,-75.021674,40.03125308
12/31/2015,Fraud,-75.18011691,39.93321381
12/31/2015,Other Assaults,-75.0725117,39.99719465
12/31/2015,All Other Offenses,-75.15695871,39.99110554
12/31/2015,Fraud,-75.07590181,40.01797032
12/31/2015,Other Assaults,-75.18672516,40.04692075
12/31/2015,Fraud,-75.23674,39.92147672
12/31/2015,Other Assaults,-75.18369776,39.95329646
12/31/2015,Other Assaults,-75.22774458,39.95430008
12/31/2015,All Other Offenses,-75.15562808,39.95661921
12/31/2015,Burglary Residential,-75.18180794,39.93057255
12/31/2015,All Other Offenses,-75.15278425,39.99210093
12/31/2015,All Other Offenses,-75.10958118,39.99211597
12/31/2015,All Other Offenses,-75.10427174,39.99982462
12/31/2015,Vandalism/Criminal Mischief,-75.04991049,40.0705292
12/31/2015,All Other Offenses,-75.13922839,39.9966236
12/31/2015,Other Assaults,-75.10791856,39.98891802
12/31/2015,Burglary Residential,-75.16405732,39.98402135
12/31/2015,Aggravated Assault No Firearm,-75.16756744,40.03386293
12/31/2015,All Other Offenses,-75.15397623,39.94958854
12/31/2015,Burglary Residential,-75.16303718,39.98542282
12/31/2015,Burglary Residential,-75.16083709,39.98532439
12/31/2015,Theft from Vehicle,-75.14002669,39.95689642
12/31/2015,Theft from Vehicle,-75.16240284,39.94790443
12/31/2015,Theft from Vehicle,-75.05550115,40.01885012
12/31/2015,Burglary Residential,-75.23949385,39.96130525
12/31/2015,Thefts,-75.15643217,40.05455131
12/31/2015,Thefts,-75.16818612,40.06625574
12/31/2015,Rape,-75.13461169,40.02206317
12/31/2015,Other Assaults,-75.13660949,40.0176045
12/31/2015,Thefts,-75.22930624,39.89472758
12/31/2015,Other Assaults,-75.11439126,39.98703123
12/31/2015,Thefts,-75.16593895,40.00324108
12/31/2015,Burglary Residential,-75.10552099,39.98679437
12/31/2015,Fraud,-75.14108096,40.02715768
12/31/2015,Fraud,-75.15302873,40.00139541
12/31/2015,Fraud,-75.17414209,40.02086657
12/31/2015,Narcotic / Drug Law Violations,-75.12886898,39.99146956
12/31/2015,Narcotic / Drug Law Violations,-75.1282102,39.99783276
12/31/2015,Aggravated Assault No Firearm,-75.15139324,40.06792111
12/31/2015,All Other Offenses,-75.23290085,39.95783757
12/31/2015,All Other Offenses,-75.14364065,40.03887713
12/31/2015,All Other Offenses,-75.11971518,40.02780884
12/31/2015,Other Assaults,-75.15837743,40.05169893
12/31/2015,Fraud,-75.08875259,40.0109977
12/31/2015,Fraud,-75.02993931,40.0327844
12/31/2015,Aggravated Assault Firearm,-75.13789266,40.01950723
12/31/2015,Theft from Vehicle,-75.20852957,39.94291375
12/31/2015,Other Assaults,-75.14607837,40.03316353
12/31/2015,Other Assaults,-75.11604258,40.04403638
12/31/2015,Other Assaults,-75.13949582,40.02661251
12/31/2015,Aggravated Assault No Firearm,-75.14089148,39.99847025
12/31/2015,All Other Offenses,-75.16994813,39.99210024
12/31/2015,Narcotic / Drug Law Violations,-75.22858257,39.96050531
12/31/2015,All Other Offenses,-75.18740617,39.93414104
12/31/2015,All Other Offenses,-75.16021779,39.9681837
12/31/2015,All Other Offenses,-75.21682194,39.96804313
12/31/2015,Aggravated Assault No Firearm,-75.10312479,39.99691095
12/31/2015,Theft from Vehicle,-75.06523683,40.01038194
12/31/2015,Burglary Residential,-75.13138109,39.9836953
12/31/2015,Thefts,-75.21934432,39.979931
12/31/2015,All Other Offenses,-75.08671224,40.02966902
12/31/2015,All Other Offenses,-75.09842506,40.02686444
12/31/2015,Aggravated Assault No Firearm,-75.20425689,39.96747967
12/31/2015,Robbery Firearm,-75.04339825,40.03342752
12/31/2015,Theft from Vehicle,-75.17532993,39.9636746
12/31/2015,Fraud,-75.24721179,39.96272718
12/31/2015,Fraud,-75.20200872,39.95712243
12/31/2015,All Other Offenses,-75.22166154,39.94649293
12/31/2015,Other Assaults,-75.13693053,40.01349723
12/31/2015,Theft from Vehicle,-75.0272016,40.03940273
12/31/2015,Other Assaults,-75.24068865,40.07376219
12/31/2015,All Other Offenses,-75.18743429,40.00508242
12/31/2015,Thefts,-75.044526,40.05943968
12/31/2015,Thefts,-75.15883158,39.97453881
12/31/2015,Thefts,-75.13260119,39.9726216
12/31/2015,Narcotic / Drug Law Violations,-75.20581777,39.96885292
12/31/2015,Robbery Firearm,-75.1931656,39.972036
12/31/2015,Thefts,-75.17996356,40.04215896
12/31/2015,Thefts,-75.22818799,39.98875005
12/31/2015,Thefts,-75.23135938,39.98932047
12/31/2015,Fraud,-75.15627807,39.98629272
12/31/2015,Thefts,-75.23648497,39.95016759
12/31/2015,Burglary Residential,-75.18505116,40.00658881
12/31/2015,Theft from Vehicle,-75.15354706,39.98863598
12/31/2015,All Other Offenses,-75.1776723,40.03782588
12/31/2015,Weapon Violations,-75.07270942,40.0177476
12/31/2015,Burglary Residential,-75.15302357,40.01831829
12/31/2015,All Other Offenses,-75.12329487,40.00724131
12/31/2015,Rape,-75.07323023,40.0166691
12/31/2015,All Other Offenses,-75.17101038,39.99729173
12/31/2015,Other Assaults,-74.98538079,40.07774528
12/31/2015,Theft from Vehicle,-75.22260798,39.96129196
12/31/2015,All Other Offenses,-75.23937616,39.94952147
12/31/2015,All Other Offenses,-75.2424535,39.95415801
12/31/2015,Vandalism/Criminal Mischief,-75.03869215,40.03760562
12/31/2015,Narcotic / Drug Law Violations,-75.11043088,40.03798755
12/31/2015,Other Assaults,-75.03532692,40.03744522
12/31/2015,Theft from Vehicle,-75.18671975,39.91878647
12/31/2015,All Other Offenses,-75.14314475,40.04656037
12/31/2015,All Other Offenses,-75.14096977,40.00091413
12/31/2015,All Other Offenses,-75.1456856,40.00627761
12/31/2015,All Other Offenses,-75.16667644,39.95377205
12/31/2015,Narcotic / Drug Law Violations,-75.15399979,40.01836019
12/31/2015,Other Sex Offenses (Not Commercialized),-75.17109708,39.98722816
12/31/2015,Burglary Residential,-75.21850471,39.93802487
12/31/2015,Aggravated Assault No Firearm,-75.10857623,39.98740689
12/31/2015,All Other Offenses,-75.25494115,39.97434041
12/31/2015,All Other Offenses,-75.08855946,40.01129819
12/31/2015,Fraud,-75.12256224,39.99147991
12/31/2015,Fraud,-75.12256224,39.99147991
12/31/2015,Fraud,-75.10939607,40.01829114
12/31/2015,All Other Offenses,-75.15336941,40.0627223
12/31/2015,Robbery Firearm,-75.1299154,39.99541792
12/31/2015,All Other Offenses,-75.05175467,40.02160639
12/31/2015,Narcotic / Drug Law Violations,-75.24853454,39.97496492
12/31/2015,Other Assaults,-75.1529709,40.00165716
12/31/2015,Narcotic / Drug Law Violations,-75.15408321,40.02215402
12/31/2015,Fraud,-75.13667955,40.00806772
12/31/2015,Weapon Violations,-75.15278425,39.99210093
12/31/2015,Rape,-75.12711095,40.0204531
12/31/2015,All Other Offenses,-75.10958118,39.99211597
12/31/2015,Disorderly Conduct,-75.04979389,40.05642577
12/31/2015,Other Assaults,-75.13230559,40.02800004
12/31/2015,Other Assaults,-75.14325127,40.04553657
12/31/2015,Theft from Vehicle,-75.12257296,39.98466833
12/31/2015,All Other Offenses,-75.12220231,40.00905139
12/31/2015,Burglary Residential,-75.03284174,40.10507463
12/31/2015,Thefts,-75.15270845,39.99634895
12/31/2015,Thefts,-75.14041541,40.00627382
12/31/2015,Thefts,-75.21348943,40.006611
12/31/2015,All Other Offenses,-75.14047476,40.00414892
12/31/2015,All Other Offenses,-75.16905359,39.94250153
12/31/2015,All Other Offenses,-75.17267189,39.97765629
12/31/2015,Other Assaults,-75.13839262,40.00061414
12/31/2015,Other Assaults,-75.12220231,40.00905139
12/31/2015,Vandalism/Criminal Mischief,-75.17257172,39.93106984
12/31/2015,Weapon Violations,-75.23913633,39.96990222
12/31/2015,Other Assaults,-75.1315298,40.03202858
12/31/2015,Other Assaults,-75.26033594,39.97448685
12/31/2015,Other Assaults,-75.23426276,39.95133654
12/31/2015,Vandalism/Criminal Mischief,-75.11515849,39.99790831
12/31/2015,Vandalism/Criminal Mischief,-75.11457446,40.0005575
12/31/2015,Thefts,-75.07818225,40.02241576
12/31/2015,Narcotic / Drug Law Violations,-75.12454914,39.99174367
12/31/2015,Narcotic / Drug Law Violations,-75.12664031,39.99228714
12/31/2015,Narcotic / Drug Law Violations,-75.11563475,39.99586815
12/31/2015,Thefts,-75.16527737,40.0070882
12/31/2015,Thefts,-75.19344833,40.0089386
12/31/2015,Thefts,-75.15385324,39.9976648
12/31/2015,Thefts,-75.15503075,40.00334319
12/31/2015,Robbery Firearm,-75.12507298,39.98242823
12/31/2015,Theft from Vehicle,-75.16167324,40.07118679
12/31/2015,Weapon Violations,-75.17093845,39.98043429
12/31/2015,Weapon Violations,-75.17093845,39.98043429
12/31/2015,Robbery No Firearm,-75.07876777,40.02191237
12/31/2015,Theft from Vehicle,-75.1243967,40.02158389
12/31/2015,Vandalism/Criminal Mischief,-75.23111392,39.98768915
12/31/2015,Narcotic / Drug Law Violations,-75.11008709,39.99782928
12/31/2015,Narcotic / Drug Law Violations,-75.12454914,39.99174367
12/31/2015,Rape,-75.11898005,39.98634282
12/31/2015,Robbery Firearm,,
12/31/2015,Thefts,-75.23235442,39.88354554
12/31/2015,Narcotic / Drug Law Violations,-75.12668635,39.99202359
12/31/2015,Theft from Vehicle,-75.17084977,40.06145679
12/31/2015,Disorderly Conduct,-75.15856962,39.98342952
12/31/2015,Narcotic / Drug Law Violations,-75.16221881,39.99181437
12/31/2015,Aggravated Assault No Firearm,-75.22592875,39.95697058
12/31/2015,Vandalism/Criminal Mischief,-75.17977139,40.02410024
12/31/2015,Thefts,-75.13224152,39.97616633
12/31/2015,Aggravated Assault No Firearm,-75.14547853,40.03289494
12/31/2015,Other Assaults,-75.16445712,39.98269129
12/31/2015,Other Assaults,-75.177728,39.98474773
12/31/2015,Thefts,-75.16608129,39.94962323
12/31/2015,Robbery Firearm,-75.06136993,40.01652959
12/31/2015,Fraud,-75.14958864,40.0169417
12/31/2015,Burglary Residential,-75.23237676,39.99174623
12/31/2015,DRIVING UNDER THE INFLUENCE,-75.15587365,39.92001343
12/31/2015,DRIVING UNDER THE INFLUENCE,-75.15351291,39.92225665
12/31/2015,Theft from Vehicle,-75.16625634,39.93026053
12/31/2015,Theft from Vehicle,-75.18089992,39.98615451
12/31/2015,Thefts,-75.22097899,39.97738285
12/31/2015,Thefts,-75.1921731,39.95287382
12/31/2015,Burglary Non-Residential,-75.1017051,39.9910023
12/31/2015,Thefts,-75.14918299,40.00107112
12/31/2015,Thefts,-75.23235442,39.88354554
12/31/2015,Theft from Vehicle,-75.18551825,39.98694528
12/31/2015,Theft from Vehicle,-75.18416352,39.98669131
12/31/2015,Burglary Non-Residential,-75.24436406,39.96245846
12/31/2015,DRIVING UNDER THE INFLUENCE,-75.08226848,40.0395616
12/31/2015,DRIVING UNDER THE INFLUENCE,-75.0714536,40.05423994
12/31/2015,DRIVING UNDER THE INFLUENCE,-75.059939,40.0477604
12/31/2015,Weapon Violations,-75.14016992,40.01259011
12/31/2015,Weapon Violations,-75.14016992,40.01259011
12/31/2015,Theft from Vehicle,-75.10774663,40.01310084
12/31/2015,Narcotic / Drug Law Violations,-75.13769548,39.99489795
12/31/2015,DRIVING UNDER THE INFLUENCE,-75.19493235,39.93900358
12/31/2015,DRIVING UNDER THE INFLUENCE,-75.23421858,39.97045732
12/31/2015,Narcotic / Drug Law Violations,-75.14140479,40.04411653
12/31/2015,Thefts,-75.23235442,39.88354554
12/31/2015,All Other Offenses,-75.12914278,39.99444072
12/31/2015,Thefts,-75.23182471,39.96563595
12/31/2015,Disorderly Conduct,-75.11884238,39.97826308
12/31/2015,DRIVING UNDER THE INFLUENCE,-75.15562776,39.98933242
12/31/2015,DRIVING UNDER THE INFLUENCE,-75.17185073,39.9836082
12/31/2015,Vandalism/Criminal Mischief,-75.19335913,39.96521663
12/31/2015,DRIVING UNDER THE INFLUENCE,-75.12578288,39.99017641
12/31/2015,DRIVING UNDER THE INFLUENCE,-75.12549172,39.98988941
12/31/2015,DRIVING UNDER THE INFLUENCE,-75.1489366,39.99489907
12/31/2015,Thefts,-75.22659564,39.95596976
12/31/2015,DRIVING UNDER THE INFLUENCE,-75.16457674,40.01090314
12/31/2015,DRIVING UNDER THE INFLUENCE,-75.15157616,40.01691644
12/31/2015,Vandalism/Criminal Mischief,-75.16351762,39.98558782
12/31/2015,All Other Offenses,-75.16663375,39.9390428
12/31/2015,Thefts,-75.09211654,39.99583053
12/31/2015,Thefts,-75.09898879,40.00573127
12/31/2015,Thefts,-75.10386551,39.98986818
12/31/2015,Robbery Firearm,-75.0582019,40.02834492
12/31/2015,All Other Offenses,-75.12610927,39.99498452
12/31/2015,All Other Offenses,-75.12610927,39.99498452
12/31/2015,All Other Offenses,-75.05255627,40.03513923
12/31/2015,All Other Offenses,-75.05255627,40.03513923
12/31/2015,All Other Offenses,-75.05255627,40.03513923
12/31/2015,All Other Offenses,-75.07318936,40.00149305
12/31/2015,All Other Offenses,-75.07318936,40.00149305
12/31/2015,All Other Offenses,-75.23881336,39.96167715
12/31/2015,All Other Offenses,-75.24078996,39.96192208
12/31/2015,All Other Offenses,-75.23310093,39.97350867
12/31/2015,All Other Offenses,-75.24130497,39.96681333
12/31/2015,All Other Offenses,-75.22363142,39.9757074
12/31/2015,All Other Offenses,-75.22363142,39.9757074
12/31/2015,All Other Offenses,-75.24076384,39.96196925
12/31/2015,All Other Offenses,-75.22637661,39.97425224
12/31/2015,All Other Offenses,-75.22491731,39.96003726
12/31/2015,All Other Offenses,-75.22474677,39.96077178
12/31/2015,All Other Offenses,-75.22474677,39.96077178
12/31/2015,All Other Offenses,-75.22476665,39.96079967
12/31/2015,All Other Offenses,-75.25191626,39.974633
12/31/2015,All Other Offenses,-75.23431622,39.92749534
12/31/2015,All Other Offenses,-75.22354717,39.9401441
12/31/2015,All Other Offenses,-75.22354717,39.9401441
12/31/2015,All Other Offenses,-75.14918212,40.01848873
12/31/2015,All Other Offenses,-75.21972219,40.03697495
12/31/2015,All Other Offenses,-75.16002589,39.92182599
12/31/2015,All Other Offenses,-75.15814805,39.92330684
12/31/2015,All Other Offenses,-75.13602153,40.04623826
12/31/2015,All Other Offenses,-75.13602153,40.04623826
12/31/2015,All Other Offenses,-75.13167303,40.03081407
12/31/2015,Vandalism/Criminal Mischief,-75.22719752,39.9774676
12/31/2015,All Other Offenses,-75.17092683,39.98048754
12/31/2015,All Other Offenses,-75.14835723,39.99154752
12/31/2015,All Other Offenses,-75.14835723,39.99154752
12/31/2015,Theft from Vehicle,-75.19396678,39.95058743
12/31/2015,All Other Offenses,-75.11539331,39.99677062
12/31/2015,Theft from Vehicle,-75.16134302,40.05183027
12/31/2015,All Other Offenses,-75.2404369,39.96325448
12/31/2015,All Other Offenses,-75.2404369,39.96325448
12/31/2015,Motor Vehicle Theft,-75.12437768,39.99257091
12/31/2015,Motor Vehicle Theft,-75.1529387,40.0661191
12/31/2015,Motor Vehicle Theft,-75.03455857,40.03641973
12/31/2015,Motor Vehicle Theft,-75.16300963,39.97790818
12/31/2015,Motor Vehicle Theft,-75.14219034,39.9572267
12/31/2015,All Other Offenses,-75.11978312,39.97646767
12/31/2015,All Other Offenses,-75.16867202,39.990522
12/31/2015,Motor Vehicle Theft,-75.1138009,40.00198435
12/31/2015,Motor Vehicle Theft,-75.07499609,39.99861676
12/31/2015,Motor Vehicle Theft,-75.02076652,40.12873454
12/31/2015,Vandalism/Criminal Mischief,-75.15996407,39.99212505
12/31/2015,Vandalism/Criminal Mischief,-75.16357495,39.98299663
12/31/2015,Vandalism/Criminal Mischief,-75.23259065,39.97523596
12/31/2015,Vandalism/Criminal Mischief,-75.14803212,40.03192273
12/31/2015,Vandalism/Criminal Mischief,-75.23136433,39.93565369
12/31/2015,Vandalism/Criminal Mischief,-75.15347821,40.01823106
12/31/2015,Vandalism/Criminal Mischief,-75.16414891,39.95051091
12/31/2015,Vandalism/Criminal Mischief,-75.16896708,39.95080361
12/31/2015,Recovered Stolen Motor Vehicle,-74.99137107,40.05190335
12/31/2015,Recovered Stolen Motor Vehicle,-75.24435317,39.91847872
12/31/2015,Burglary Residential,-75.19431785,40.01092592
12/31/2015,Vandalism/Criminal Mischief,-75.13258403,40.00238305
12/31/2015,Vandalism/Criminal Mischief,-75.13258403,40.00238305
12/31/2015,Vandalism/Criminal Mischief,-75.13223179,40.02251088
12/31/2015,Vandalism/Criminal Mischief,-75.12876382,40.00063072
12/31/2015,Vandalism/Criminal Mischief,-75.07359138,40.01732721
12/31/2015,Vandalism/Criminal Mischief,-75.0835585,40.01379188
12/31/2015,Vandalism/Criminal Mischief,-75.12677348,39.97152217
12/31/2015,Vandalism/Criminal Mischief,-75.12899658,39.97913417
12/31/2015,Vandalism/Criminal Mischief,-75.11338384,39.99656991
12/31/2015,Vandalism/Criminal Mischief,-75.10258331,40.00765117
12/31/2015,Vandalism/Criminal Mischief,-75.15936188,40.0264853
12/31/2015,Vandalism/Criminal Mischief,-75.16816897,39.92548033
12/31/2015,Vandalism/Criminal Mischief,-75.16487365,39.91890382
12/31/2015,Vandalism/Criminal Mischief,-75.13827726,39.96232569
12/31/2015,Recovered Stolen Motor Vehicle,-75.02770577,40.03713414
12/31/2015,Recovered Stolen Motor Vehicle,-75.05674204,40.01758014
12/31/2015,Homicide - Criminal,-75.1710804,40.00236622
12/31/2015,Narcotic / Drug Law Violations,-75.15730552,40.0117532
12/31/2015,Other Assaults,-75.14547853,40.03289494
12/31/2015,Aggravated Assault No Firearm,-75.1829173,40.01221468
12/31/2015,Aggravated Assault Firearm,-75.06555435,40.02574995
12/31/2015,Other Assaults,-75.01838027,40.03309268
12/31/2015,Vandalism/Criminal Mischief,-75.1722537,39.92082727
12/31/2015,Recovered Stolen Motor Vehicle,-75.17407498,39.98538778
12/31/2015,Recovered Stolen Motor Vehicle,-75.23195384,39.92544788
12/31/2015,Recovered Stolen Motor Vehicle,-75.1199418,39.99412906
12/31/2015,Recovered Stolen Motor Vehicle,-75.16500474,39.99996832
12/31/2015,Recovered Stolen Motor Vehicle,-75.08564907,40.03370325
12/31/2015,Recovered Stolen Motor Vehicle,-75.14099448,40.00553686
12/31/2015,Recovered Stolen Motor Vehicle,-75.11126205,39.98524272
12/31/2015,Recovered Stolen Motor Vehicle,-75.11734167,39.98828555
12/31/2015,Recovered Stolen Motor Vehicle,-75.13962115,39.96947875
12/31/2015,Recovered Stolen Motor Vehicle,-75.17546879,39.9522842
12/31/2015,Recovered Stolen Motor Vehicle,-75.20127144,39.95998889
12/31/2015,Recovered Stolen Motor Vehicle,-75.14898208,40.03091424
12/31/2015,Recovered Stolen Motor Vehicle,-75.14934345,40.03281579
12/31/2015,Recovered Stolen Motor Vehicle,-75.11456655,40.02343215
12/31/2015,Recovered Stolen Motor Vehicle,-75.07748966,40.0375303
12/31/2015,Recovered Stolen Motor Vehicle,-75.1023928,40.00634594
12/31/2015,Recovered Stolen Motor Vehicle,-75.2456271,39.91958172
12/31/2015,Recovered Stolen Motor Vehicle,-75.17456312,39.98554009
12/31/2015,Recovered Stolen Motor Vehicle,-75.13719747,40.01526225
12/31/2015,Recovered Stolen Motor Vehicle,-75.1640453,39.99989625
12/31/2015,Recovered Stolen Motor Vehicle,-75.0575966,40.01937241
12/31/2015,Recovered Stolen Motor Vehicle,-75.08980025,40.03880612
12/31/2015,Fraud,-75.19667495,39.93418313
12/31/2015,Fraud,-75.15673688,39.95153918
12/31/2015,All Other Offenses,-75.24220575,39.95609179
12/31/2015,Narcotic / Drug Law Violations,-75.12707457,39.99360587
12/31/2015,Thefts,-75.15976723,39.97018217
12/31/2015,Rape,-75.17360653,40.06308318
12/31/2015,Burglary Residential,-75.13694864,40.02727222
12/31/2015,All Other Offenses,-75.16050468,39.97033987
12/31/2015,Narcotic / Drug Law Violations,-75.17903804,39.93562187
12/31/2015,Fraud,-75.12738439,39.98884373
12/31/2015,Other Assaults,-75.07786901,40.00568957
12/31/2015,Theft from Vehicle,-75.15110727,40.0648831
12/31/2015,Vandalism/Criminal Mischief,-75.18668608,40.0544396
12/31/2015,Thefts,-75.24243581,39.92602743
12/31/2015,Thefts,-75.06771579,40.01329192
12/31/2015,Other Assaults,-75.15814604,40.04928165
12/31/2015,Other Assaults,-75.07786901,40.00568957
12/31/2015,Other Assaults,-75.08774785,40.01386779
12/31/2015,Other Assaults,-75.15129791,40.00931546
12/31/2015,Thefts,-75.16508226,39.94949386
12/31/2015,Narcotic / Drug Law Violations,-75.13808835,40.00180502
12/31/2015,Narcotic / Drug Law Violations,-75.17961719,39.98672743
12/31/2015,Disorderly Conduct,-75.182373,39.9547681
12/31/2015,Other Assaults,-75.17442636,40.00726435
12/31/2015,Thefts,-75.16324463,39.98447506
12/31/2015,Thefts,-75.17314039,39.99759543
12/31/2015,Narcotic / Drug Law Violations,-75.12528118,39.9918453
12/31/2015,Narcotic / Drug Law Violations,-75.17326089,39.98231149
12/31/2015,Robbery Firearm,-75.14723868,40.01665903
12/31/2015,Recovered Stolen Motor Vehicle,-75.23844924,39.94784046
12/31/2015,Recovered Stolen Motor Vehicle,-75.11847745,39.98769953
12/31/2015,All Other Offenses,-75.11539331,39.99677062
12/31/2015,Vandalism/Criminal Mischief,-75.18221329,39.96961834
12/31/2015,Narcotic / Drug Law Violations,-75.13083182,39.994069
12/31/2015,Vandalism/Criminal Mischief,-75.11024389,39.9881853
12/31/2015,Vandalism/Criminal Mischief,-75.13113651,40.00904248
12/31/2015,Robbery No Firearm,-75.12910538,40.03420379
12/31/2015,All Other Offenses,-75.22476665,39.96079967
12/30/2015,Thefts,-75.08642821,40.04968849
12/30/2015,Thefts,-75.08334701,40.06112059
12/30/2015,Thefts,-75.07811539,40.05317785
12/30/2015,All Other Offenses,-75.22677164,40.03704938
12/30/2015,Thefts,-75.15258476,39.92051096
12/30/2015,Narcotic / Drug Law Violations,-75.07758067,40.07386355
12/30/2015,Fraud,-75.15046533,39.91886388
12/30/2015,Other Assaults,-75.15513757,39.91743847
12/30/2015,Thefts,-75.18621147,39.91868293
12/30/2015,Narcotic / Drug Law Violations,-75.09021761,40.03634584
12/30/2015,All Other Offenses,-75.15130444,39.91557041
12/30/2015,Fraud,-75.24181102,39.91067303
12/30/2015,Fraud,-75.168232,40.03428761
12/30/2015,Theft from Vehicle,-75.22643201,40.07892664
12/30/2015,Narcotic / Drug Law Violations,-75.18200419,39.92973266
12/30/2015,Fraud,-75.07391409,40.04516764
12/30/2015,Thefts,-75.15082585,39.94919749
12/30/2015,Thefts,-75.24251663,40.06226131
12/30/2015,Other Sex Offenses (Not Commercialized),-75.16224124,39.94622408
12/30/2015,Other Assaults,-75.05646352,40.05624554
12/30/2015,Other Assaults,-75.07050954,40.04236868
12/30/2015,Vandalism/Criminal Mischief,-75.08312688,40.06549658
12/30/2015,Thefts,-75.06449908,40.04075818
12/30/2015,Thefts,-75.10224872,40.03776705
12/30/2015,Other Sex Offenses (Not Commercialized),-75.00840199,40.05619639
12/30/2015,Other Sex Offenses (Not Commercialized),-75.01380856,40.04759317
12/30/2015,Thefts,-75.05621041,40.06184747
12/30/2015,Thefts,-75.09958418,40.02849021
12/30/2015,Thefts,-75.09958418,40.02849021
12/30/2015,Fraud,-75.23599731,39.97618647
12/30/2015,Burglary Residential,-75.21490966,39.94217
